Data,Horas,minutos,alt,fenómeno
01,03,31,3.2,Preia-mar
01,09,30,0.7,Baixa-mar
01,15,42,3.4,Preia-mar
01,21,50,0.6,Baixa-mar
02,04,00,3.3,Preia-mar
02,10,01,0.7,Baixa-mar
02,16,12,3.4,Preia-mar
02,22,18,0.6,Baixa-mar
03,04,29,3.3,Preia-mar
03,10,30,0.7,Baixa-mar
03,16,41,3.4,Preia-mar
03,22,47,0.7,Baixa-mar
04,04,57,3.3,Preia-mar
04,11,00,0.7,Baixa-mar
04,17,11,3.3,Preia-mar
04,23,15,0.7,Baixa-mar
05,05,25,3.2,Preia-mar
05,11,30,0.8,Baixa-mar
05,17,41,3.2,Preia-mar
05,23,44,0.8,Baixa-mar
06,05,55,3.1,Preia-mar
06,12,03,0.9,Baixa-mar
06,18,13,3.0,Preia-mar
07,00,15,1.0,Baixa-mar
07,06,28,3.0,Preia-mar
07,12,38,1.1,Baixa-mar
07,18,50,2.8,Preia-mar
08,00,50,1.2,Baixa-mar
08,07,07,2.8,Preia-mar
08,13,21,1.2,Baixa-mar
08,19,35,2.7,Preia-mar
09,01,34,1.3,Baixa-mar
09,07,59,2.7,Preia-mar
09,14,20,1.4,Baixa-mar
09,20,40,2.5,Preia-mar
10,02,39,1.5,Baixa-mar
10,09,14,2.6,Preia-mar
10,15,51,1.5,Baixa-mar
10,22,15,2.4,Preia-mar
11,04,19,1.5,Baixa-mar
11,10,48,2.6,Preia-mar
11,17,28,1.4,Baixa-mar
11,23,44,2.6,Preia-mar
12,05,49,1.4,Baixa-mar
12,12,04,2.8,Preia-mar
12,18,35,1.1,Baixa-mar
13,00,47,2.8,Preia-mar
13,06,49,1.2,Baixa-mar
13,13,02,3.1,Preia-mar
13,19,25,0.8,Baixa-mar
14,01,36,3.1,Preia-mar
14,07,38,0.9,Baixa-mar
14,13,50,3.4,Preia-mar
14,20,09,0.6,Baixa-mar
15,02,20,3.4,Preia-mar
15,08,22,0.6,Baixa-mar
15,14,35,3.6,Preia-mar
15,20,51,0.3,Baixa-mar
16,03,02,3.6,Preia-mar
16,09,04,0.4,Baixa-mar
16,15,19,3.8,Preia-mar
16,21,32,0.2,Baixa-mar
17,03,43,3.7,Preia-mar
17,09,47,0.2,Baixa-mar
17,16,03,3.9,Preia-mar
17,22,14,0.2,Baixa-mar
18,04,25,3.8,Preia-mar
18,10,30,0.2,Baixa-mar
18,16,47,3.8,Preia-mar
18,22,56,0.3,Baixa-mar
19,05,08,3.7,Preia-mar
19,11,15,0.3,Baixa-mar
19,17,33,3.7,Preia-mar
19,23,39,0.4,Baixa-mar
20,05,53,3.6,Preia-mar
20,12,02,0.5,Baixa-mar
20,18,21,3.4,Preia-mar
21,00,24,0.7,Baixa-mar
21,06,41,3.3,Preia-mar
21,12,54,0.7,Baixa-mar
21,19,14,3.1,Preia-mar
22,01,15,1.0,Baixa-mar
22,07,37,3.1,Preia-mar
22,13,55,1.0,Baixa-mar
22,20,19,2.8,Preia-mar
23,02,18,1.3,Baixa-mar
23,08,47,2.9,Preia-mar
23,15,17,1.2,Baixa-mar
23,21,45,2.6,Preia-mar
24,03,47,1.5,Baixa-mar
24,10,13,2.8,Preia-mar
24,16,54,1.3,Baixa-mar
24,23,18,2.5,Preia-mar
25,05,20,1.5,Baixa-mar
25,11,36,2.8,Preia-mar
25,18,12,1.2,Baixa-mar
25,24,30,2.7,Preia-mar
26,06,29,1.3,Baixa-mar
26,12,40,2.9,Preia-mar
26,19,06,1.1,Baixa-mar
27,01,21,2.8,Preia-mar
27,07,18,1.2,Baixa-mar
27,13,28,3.0,Preia-mar
27,19,46,1.0,Baixa-mar
28,01,59,3.0,Preia-mar
28,07,58,1.0,Baixa-mar
28,14,07,3.1,Preia-mar
28,20,20,0.9,Baixa-mar
29,02,32,3.1,Preia-mar
29,08,32,0.9,Baixa-mar
29,14,42,3.2,Preia-mar
29,20,50,0.8,Baixa-mar
30,03,02,3.2,Preia-mar
30,09,04,0.8,Baixa-mar
30,15,13,3.3,Preia-mar
30,21,19,0.7,Baixa-mar
31,03,31,3.3,Preia-mar
31,09,34,0.7,Baixa-mar
31,15,44,3.3,Preia-mar
31,21,48,0.7,Baixa-mar
